Designator,Mid X,Mid Y,Layer,Rotation
C3,22.400000,-24.200000,Bottom,180.000000
C7,32.400000,-20.000000,Bottom,180.000000
C8,32.000000,-27.000000,Bottom,90.000000
D1,48.000000,-70.000000,Bottom,180.000000
Q1,14.000000,-71.000000,Bottom,180.000000
Q2,30.000000,-71.000000,Bottom,180.000000
R3,30.000000,-75.000000,Bottom,180.000000
R4,22.000000,-75.000000,Bottom,180.000000
R5,5.400000,-20.800000,Bottom,90.000000
R6,6.900000,-20.800000,Bottom,90.000000
R7,8.400000,-20.800000,Bottom,90.000000
R8,3.000000,-20.800000,Bottom,90.000000
R9,9.800000,-20.800000,Bottom,90.000000
R10,4.400000,-20.800000,Bottom,270.000000
R13,31.400000,-29.200000,Bottom,180.000000
R14,26.400000,-30.600000,Bottom,180.000000
SCL1,46.000000,-64.000000,Bottom,180.000000
SDA1,40.000000,-64.000000,Bottom,180.000000
U2,26.400000,-41.200000,Bottom,0.000000
U8,26.800000,-28.000000,Bottom,180.000000
C1,38.800000,-30.600000,Top,270.000000
C2,46.000000,-19.200000,Top,0.000000
C4,25.000000,-70.000000,Top,0.000000
C5,37.000000,-47.000000,Top,270.000000
C6,42.200000,-14.200000,Top,0.000000
J1,53.500000,-42.000000,Top,270.000000
J2,9.000000,-9.000000,Top,0.000000
J3,53.500000,-9.460000,Top,0.000000
J5,45.800000,-31.860000,Top,0.000000
JP3,40.605000,-72.595000,Top,270.000000
R1,41.400000,-36.500000,Top,0.000000
R2,42.000000,-38.700000,Top,0.000000
R11,42.400000,-59.450000,Top,180.000000
R12,43.000000,-61.200000,Top,0.000000
U1,26.000000,-42.000000,Top,0.000000
U3,26.400000,-59.000000,Top,0.000000
U4,43.000000,-45.000000,Top,0.000000
U5,42.000000,-10.000000,Top,0.000000
U7,42.000000,-24.500000,Top,0.000000
